Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,Video Ejemplo,Musculos
Elevación de Talones con Barra,Semilla Gym,Rack + Barra,"Coloca la barra sobre los trapecios como en sentadilla. Sube los talones
  apretando las pantorrillas. Baja con control hasta estirar completamente.","Haz pausa de 2 segundos arriba. Puedes poner un disco bajo los pies para
  mayor rango.",4 series de 15-20 reps,video,Pantorrillas (Gemelos y Soleo)
Peso Muerto Rumano con Barra,Semilla Gym,Barra,"De pie con la barra frente a los muslos y agarre a la anchura de los
  hombros. Inclina el torso hacia adelante con rodillas ligeramente
  flexionadas. Baja la barra por las piernas hasta sentir estiramiento en
  isquiotibiales. Sube apretando gluteos.","Manten la barra pegada a las piernas. La espalda siempre recta. No
  redondees.",4 series de 8-10 reps,video,"Isquiotibiales, Gluteos, Espalda baja"
Zancada con Mancuernas,Semilla Gym,Mancuernas,"De pie con una mancuerna en cada mano. Da un paso al frente y baja la
  rodilla trasera casi al suelo. Empuja con la pierna delantera para volver a
  la posición inicial.","Manten el torso erguido. La rodilla delantera no debe pasar la punta del
  pie.",4 series de 10 reps por pierna,video,"Cuadriceps, Gluteos, Isquiotibiales"
Hip Thrust con Barra,Semilla Gym,Banco + Barra + Pad,"Sientate en el suelo con la espalda alta apoyada en un banco. Coloca la
  barra con pad sobre la cadera. Empuja la cadera hacia arriba apretando los
  gluteos. Baja con control.","Aprieta los gluteos arriba 2 segundos. La barbilla al pecho para no
  hiperextender.",4 series de 10-12 reps,video,"Gluteos, Isquiotibiales"
Sentadilla Goblet con Mancuerna,Semilla Gym,Mancuerna,"De pie sujeta una mancuerna vertical contra el pecho con ambas manos.
  Baja en sentadilla profunda manteniendo el torso erguido. Sube empujando con
  los talones.","Los codos deben pasar por dentro de las rodillas. Excelente para aprender
  la tecnica de sentadilla.",3 series de 10-12 reps,video,"Cuadriceps, Gluteos"
Elevación de Talones en Prensa,Semilla Gym,Maquina prensa de piernas,"Sientate en la prensa con solo las puntas de los pies en la plataforma.
  Empuja extendiendo los tobillos (puntillas) y regresa con control.",No bloquees las rodillas. Haz el rango completo estirando bien abajo.,4 series de 15-20 reps,video,Pantorrillas (Gemelos y Soleo)
Sentadilla Frontal con Barra,Semilla Gym,Rack + Barra,"Coloca la barra sobre los deltoides frontales con los codos altos. Baja
  en sentadilla profunda manteniendo el torso lo mas vertical posible. Sube
  empujando con fuerza.","Los codos siempre altos para que la barra no ruede. Trabaja mÃ¡s los
  cuadriceps que la sentadilla trasera.",4 series de 8-10 reps,video,"Cuadriceps, Core, Gluteos"
Step-Up con Mancuernas,Semilla Gym,Banco o cajon + Mancuernas,"Con una mancuerna en cada mano sube a un banco firme con una pierna.
  Empuja solo con la pierna de arriba para subir todo el cuerpo. Baja con
  control.",No te impulses con la pierna de abajo. Manten el torso erguido.,3 series de 10 reps por pierna,video,"Cuadriceps, Gluteos"
Curl Femoral Sentado en Maquina,Semilla Gym,Maquina curl femoral sentado,"Sientate en la maquina con las piernas extendidas sobre el cojin.
  Flexiona las rodillas llevando los talones hacia abajo y atras. Regresa con
  control.","Ajusta el respaldo para que las rodillas queden alineadas con el eje de
  la maquina.",3 series de 12-15 reps,video,Isquiotibiales
Aducción en Maquina,Semilla Gym,Maquina de aductores,"Sientate en la mÃ¡quina con las piernas abiertas sobre los cojines. Junta
  las piernas apretando los aductores. Regresa con control.",Aprieta 1 segundo al juntar las piernas. Usa peso moderado y control.,3 series de 12-15 reps,video,Aductores
Abducción en Maquina,Semilla Gym,Maquina de abductores,"Sientate en la maquina con las piernas juntas sobre los cojines. Abre las
  piernas empujando hacia afuera. Regresa con control.",Aprieta los gluteos al abrir. Excelente para gluteo medio.,3 series de 12-15 reps,video,"Gluteo medio, Abductores"
Press de Banca Inclinado con Barra,Pino Gym,Banco inclinado + Barra,"Acuestate en banco inclinado a 30-45°. Agarra la barra a la anchura de
  los hombros. Baja al pecho superior y empuja hasta extender los brazos.","Retrae las escapulas. El angulo de 30° es ideal para pecho superior sin
  cargar demasiado el hombro.",4 series de 6-8 reps,video,"Pecho superior, Triceps, Deltoides frontal"
Remo con Barra,Pino Gym,Barra,"De pie con las rodillas ligeramente flexionadas e inclinado a 45°. Agarra
  la barra con agarre prono. Tira hacia el abdomen bajo apretando la espalda.
  Baja con control.","Manten la espalda recta y el core apretado. No uses impulso con las
  piernas.",4 series de 6-8 reps,video,"Dorsales, Romboides, Trapecio, Biceps"
Press Militar con Barra,Pino Gym,Rack + Barra,"De pie con la barra a la altura de los hombros. Agarre a la anchura de
  los hombros. Empuja la barra sobre la cabeza extendiendo completamente. Baja
  con control al menton.",Aprieta gluteos y abdomen para estabilizar. No arquees la espalda baja.,4 series de 6-8 reps,video,"Deltoides, Triceps, Trapecio, Core"
Curl con Barra Recta,Pino Gym,Barra recta,"De pie sujeta la barra recta con agarre supino a la anchura de los
  hombros. Flexiona los codos subiendo la barra hacia los hombros. Baja con
  control.","Manten los codos fijos y el torso recto. No balancees. Usa peso que
  permita forma estricta.",4 series de 8-10 reps,video,"Biceps, Antebrazo"
Extensión de Triceps con Barra Z,Pino Gym,Banco plano + Barra Z,"Acuestate en el banco con la barra Z sobre la cabeza y brazos extendidos.
  Baja la barra hacia la frente flexionando los codos. Extiende para subir.","Manten los codos apuntando al techo. La barra Z reduce tensión en muñecas
  vs barra recta.",4 series de 8-10 reps,video,Triceps
Press Declinado con Mancuernas,Pino Gym,Banco declinado + Mancuernas,"Acuestate en banco declinado con los pies asegurados. Sube las mancuernas
  sobre el pecho y baja con los codos a 90°. Empuja hacia arriba.","El angulo declinado enfatiza el pecho inferior. No uses peso excesivo por
  la posición invertida.",4 series de 8-10 reps,video,"Pecho inferior, Triceps"
Dominadas con Peso,Pino Gym,Barra de dominadas + Cinturon con disco,"Cuelga de la barra con disco atado al cinturan. Tira del cuerpo hacia
  arriba hasta que la barbilla pase la barra. Baja con control.","Inicia el movimiento retrayendo las escapulas. Si no puedes con peso
  empieza con tu peso corporal.",4 series de 5-8 reps,video,"Dorsales, Biceps, Romboides, Core"
Elevaciones Laterales Inclinado,Pino Gym,Banco inclinado 45° + Mancuernas,"Acuestate de lado en un banco inclinado. Con la mancuerna en la mano
  libre sube el brazo lateralmente hasta la altura del hombro. Baja con
  control.","La inclinación elimina el impulso y aisla mejor el deltoides lateral. Usa
  peso ligero.",4 series de 10-12 reps,video,Deltoides lateral
Curl Concentrado con Mancuerna,Pino Gym,Banco + Mancuerna,"Sientate en el banco con las piernas abiertas. Apoya el codo contra la
  parte interna del muslo. Flexiona el codo subiendo la mancuerna y baja lento.","El apoyo en el muslo aisla completamente el biceps. Aprieta arriba 1
  segundo.",4 series de 10-12 reps por brazo,video,Biceps
Fondos con Peso en Paralelas,Pino Gym,Paralelas + Cinturon con disco,"Sujeta las paralelas con disco atado al cinturon. Baja doblando los codos
  hasta que los hombros queden por debajo de los codos. Empuja para subir.","Inclina el torso al frente para mas pecho. Vertical para mas tricceps.
  Controla la bajada.",4 series de 6-8 reps,video,"Pecho, Triceps, Deltoides frontal"
Aperturas con Mancuernas,Pino Gym,Banco plano + Mancuernas,"Acuestate en el banco con mancuernas sobre el pecho y brazos extendidos.
  Abre los brazos bajando las mancuernas con los codos ligeramente flexionados.
  Junta arriba.","No bajes demasiado para proteger los hombros. Siente el estiramiento en
  el pecho al abrir.",4 series de 10-12 reps,video,"Pectorales, Deltoides frontal"
Remo Pendlay con Barra,Pino Gym,Barra,"Inclinate con el torso paralelo al suelo. La barra en el piso. Tira
  explosivamente hacia el abdomen y baja con control hasta el suelo en cada
  rep.","Cada repetición empieza desde el suelo. Mas explosivo que el remo normal.
  Espalda siempre recta.",4 series de 6-8 reps,video,"Dorsales, Trapecio, Romboides, Biceps"
Face Pull en Polea,Pino Gym,Polea alta + Cuerda,"De pie frente a la polea alta con la cuerda a la altura de la cara. Tira
  hacia la cara abriendo los codos hacia afuera. Aprieta los omoplatos atras.","Excelente para salud del hombro y postura. Rota los puÃ±os hacia afuera
  al final del movimiento.",4 series de 12-15 reps,video,"Deltoides posterior, Trapecio, Romboides"
Curl Predicador con Barra Z,Pino Gym,Banco inclinado + Barra Z,"Apoya el pecho en un banco inclinado con los brazos colgando. Sujeta la
  barra Z y flexiona los codos subiendo la barra. Baja con control.","La posición elimina el impulso por completo. Maxima activación del
  biceps.",4 series de 8-10 reps,video,Biceps
Press de Triceps en Polea con Cuerda,Pino Gym,Polea alta + Cuerda,"De pie frente a la polea. Sujeta la cuerda y empuja hacia abajo separando
  los extremos al final del movimiento. Regresa con control.","Separa la cuerda al final para activar la cabeza lateral del triceps.
  Codos fijos al cuerpo.",4 series de 10-12 reps,video,Triceps
Sentadilla Profunda con Barra,Pino Gym,Rack + Barra,"Coloca la barra en los trapecios. Baja mas alla del paralelo con control
  manteniendo la espalda recta. Sube empujando con fuerza desde los talones.","Requiere buena movilidad de tobillo y cadera. Usa zapatos con tacon o
  disco bajo los talones si es necesario.",4 series de 6-8 reps,video,"Cuadriceps, Gluteos, Isquiotibiales"
Peso Muerto Convencional,Pino Gym,Barra + Discos,"De pie frente a la barra en el suelo. Agarra la barra y levantala
  extendiendo caderas y rodillas simultaneamente hasta estar de pie. Baja con
  control.","La barra siempre pegada al cuerpo. Espalda recta. Empuja el suelo con los
  pies.",4 series de 5-6 reps,video,"Isquiotibiales, Gluteos, Espalda baja, Cuadriceps"
Prensa de Piernas (pies altos),Pino Gym,Maquina prensa de piernas,"Sientate en la prensa con los pies en la parte alta de la plataforma.
  Baja la plataforma flexionando las rodillas y empuja para subir.","Pies altos enfatiza gluteos e isquiotibiales. No levantes la espalda baja
  del respaldo.",4 series de 8-10 reps,video,"Gluteos, Isquiotibiales, Cuadriceps"
Curl Femoral Acostado en Maquina,Pino Gym,Maquina curl femoral acostado,"Acuestate boca abajo con los tobillos bajo el cojin. Flexiona las
  rodillas con fuerza llevando los talones hacia los gluteos. Baja lento (3
  segundos).","Manten la cadera pegada al banco. La fase excentrica lenta (bajada) es
  clave para hipertrofia.",4 series de 8-10 reps,video,Isquiotibiales
Elevación de Talones Sentado con Disco,Pino Gym,Banco + Disco sobre rodillas,"Sientate en un banco con un disco sobre las rodillas. Sube los talones
  apretando los soleos. Baja completamente estirando. Pausa arriba 2 segundos.",El soleo se activa mas con rodilla flexionada. ,4 series de 15-20 reps,video,"Soleo, Pantorrillas"
Sentadilla Bulgara con Mancuernas,Pino Gym,Banco + Mancuernas,"Coloca el empeine trasero en un banco. Con una mancuerna en cada mano
  baja flexionando la rodilla delantera. Sube con fuerza.","Las mancuernas permiten rango natural. Manten el torso ligeramente
  inclinado para trabajo de guteo.",4 series de 8-10 reps por pierna,video,"Cuadriceps, Gluteos, Isquiotibiales"
Hip Thrust con Barra (pies elevados),Pino Gym,Banco + Barra + Pad + Step,"Espalda alta en banco y pies sobre un step/cajon. Barra con pad sobre la
  cadera. Empuja la cadera arriba apretando gluteos. Baja sin tocar el suelo.","La elevación de pies aumenta el rango y la activación del gluteo. Aprieta
  arriba 2 segundos.",4 series de 8-10 reps,video,"Gluteos, Isquiotibiales"
Zancada Caminando con Barra,Pino Gym,Barra,"Coloca la barra en los trapecios. Da pasos largos alternados hacia
  adelante bajando la rodilla trasera casi al suelo. Avanza sin detenerte.",Manten el core apretado para estabilidad. Pasos largos para mas gluteo,4 series de 10 pasos por pierna,video,"Cuadriceps, Gluteos, Isquiotibiales, Core"
Extensión de Cuadriceps Unilateral,Pino Gym,Maquina extensión de cuadriceps,"Sientate en la maquina y extiende una pierna a la vez. Sube hasta
  extensión completa y baja lento (3 segundos).","El trabajo unilateral corrige desbalances entre piernas. Aprieta el
  cuadriceps arriba.",4 series de 10-12 reps por pierna,video,Cuadriceps
Peso Muerto Sumo con Barra,Pino Gym,Barra + Discos,"De pie con los pies muy abiertos y las puntas hacia afuera. Agarra la
  barra con agarre estrecho entre las piernas. Levanta extendiendo caderas y
  rodillas.","Pecho arriba y espalda recta. El agarre sumo enfatiza mÃ¡s los aductores
  y cuadriceps.",4 series de 6-8 reps,video,"Cuadriceps, Aductores, Gluteos, Isquiotibiales"
Sentadilla Hack en Maquina,Pino Gym,Maquina hack squat,"Colocate en la maquina con la espalda contra el respaldo y los hombros
  bajo los cojines. Baja flexionando las rodillas y sube empujando con fuerza.","La maquina guia el movimiento y protege la espalda baja. Excelente para
  aislar cuadriceps.",4 series de 8-10 reps,video,"Cuadriceps, Gluteos"
Peso Muerto Rumano con Mancuernas,Pino Gym,Mancuernas,"De pie con una mancuerna en cada mano frente a los muslos. Inclina el
  torso con rodillas ligeramente flexionadas. Baja las mancuernas por las
  piernas. Sube apretando gluteos.","Las mancuernas permiten un rango de movimiento mas natural que la barra.
  Espalda siempre recta.",4 series de 8-10 reps,video,"Isquiotibiales, Gluteos"
Peso Muerto con Barra,Pino Gym,Barra,De pie frente a la barra en el suelo con los pies a la anchura de la cadera. Agarra la barra con agarre prono o mixto justo por fuera de las rodillas. Empuja el suelo con los pies extendiendo caderas y rodillas simultáneamente hasta estar completamente de pie. Baja con control invirtiendo el movimiento.,La barra siempre pegada al cuerpo durante todo el recorrido. Espalda recta y pecho arriba. Activa los dorsales antes de levantar como si quisieras doblar la barra hacia ti.,4 series de 5-6 reps,video,"Isquiotibiales, Glúteos, Espalda baja, Cuádriceps, Trapecio"
Curl Femoral Nordico Asistido,Pino Gym,Maquina GHR o compañero que sujete los pies,"Arrodillate con los pies asegurados. Baja el torso lentamente hacia el
  suelo (5 segundos) resistiendo la cai­da con los isquiotibiales. Usa las
  manos para empujarte al subir si es necesario.","Enfocate en la bajada lenta. Es el ejercicio mas efectivo para
  isquiotibiales. Progresa hasta hacerlo sin manos.",4 series de 4-6 reps,video,"Isquiotibiales, Gluteos"
Elevación de Talones de Pie en Maquina,Pino Gym,Maquina de elevación de talones,"De pie en la maquina con los hombros bajo los cojines y las puntas de los
  pies en la plataforma. Sube los talones apretando las pantorrillas. Baja
  estirando completamente.","Pausa de 2 segundos arriba y estiramiento completo abajo. Rango completo
  es clave para pantorrillas.",4 series de 12-15 reps,video,Pantorrillas (Gemelos y Soleo)
